date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:49:48	78068/78068	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Jan%202024%2022:49:48%20GMT	https://mado.az/menu/meals	C:/Users/sahin/Desktop/esldibu/EslRestolayihe/mado.az/menu/meals.html	(from )
02:49:48	31967/31967	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Jan%202024%2022:49:49%20GMT	https://mado.az/robots.txt		(from )
02:49:53	203024/203024	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20Mar%202020%2016:40:42%20GMT	https://mado.az/style.css?v=6	C:/Users/sahin/Desktop/esldibu/EslRestolayihe/mado.az/style1bce.css	(from https://mado.az/menu/meals)
02:49:54	86927/86927	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jan%202020%2021:03:43%20GMT	https://mado.az/menu/js/jquery-3.3.1.min.js?v=6	C:/Users/sahin/Desktop/esldibu/EslRestolayihe/mado.az/menu/js/jquery-3.3.1.min1bce.js	(from https://mado.az/menu/meals)
02:49:55	10451/10451	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202020%2015:44:23%20GMT	https://mado.az/favicon/apple-touch-icon.png	C:/Users/sahin/Desktop/esldibu/EslRestolayihe/mado.az/favicon/apple-touch-icon.png	(from https://mado.az/menu/meals)
02:49:57	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/sahin/Desktop/esldibu/EslRestolayihe/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://mado.az/menu/meals)
02:49:57	648237/648237	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2015%20Mar%202020%2014:17:33%20GMT	https://mado.az/js/main.js?v=6	C:/Users/sahin/Desktop/esldibu/EslRestolayihe/mado.az/js/main1bce.js	(from https://mado.az/menu/meals)
02:49:57	1914/1914	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202020%2015:44:23%20GMT	https://mado.az/favicon/favicon-32x32.png	C:/Users/sahin/Desktop/esldibu/EslRestolayihe/mado.az/favicon/favicon-32x32.png	(from https://mado.az/menu/meals)
02:49:58	1264/1264	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202020%2015:44:23%20GMT	https://mado.az/favicon/favicon-16x16.png	C:/Users/sahin/Desktop/esldibu/EslRestolayihe/mado.az/favicon/favicon-16x16.png	(from https://mado.az/menu/meals)
02:49:58	77315/77315	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Jan%202024%2022:49:59%20GMT	https://mado.az/menu/meals?inpage=30&hl=en	C:/Users/sahin/Desktop/esldibu/EslRestolayihe/mado.az/menu/mealsaae5.html	(from https://mado.az/menu/meals)
